NU_ANO;CO_CURSO;ANO_FIM_EM;ANO_IN_GRAD;CO_TURNO_GRADUACAO
2025;5001294;1997;2020;3
2025;8698;1997;2023;3
2025;18605;1997;2019;3
2025;98409;1997;2021;3
2025;5000980;1997;2020;3
2025;65114;1997;2021;3
2025;85652;1997;2021;3
2025;1108281;1997;2021;3
2025;1399489;1997;2022;3
2025;13723;1997;2020;3
2025;1190667;1997;2020;3
2025;1178524;1997;2020;3
2025;74655;1997;2020;3
2025;18594;1997;2020;4
2025;5001294;1997;2020;3
2025;1163738;1997;2019;3
2025;5345;1997;2020;3
2025;71859;1997;2020;3
2025;1190667;1997;2020;3
2025;1108281;1997;2021;3
2025;5001033;1997;2020;3
2025;389;1997;2019;1
2025;5001183;1997;2020;4
2025;18605;1997;2019;3
2025;1190667;1997;2020;3
2025;90483;1997;1997;3
2025;12;1997;2017;3
2025;5345;1997;2020;3
2025;1363536;1998;2020;3
2025;85652;1998;2020;3
2025;1421013;1998;2020;3
2025;1190667;1998;2020;3
2025;1408508;1998;2020;4
2025;1166567;1998;2021;3
2025;1184060;1998;2019;3
2025;20360;1998;2020;3
2025;1487491;1998;2020;3
2025;1178524;1998;2020;3
2025;9988;1998;2025;1
2025;1427420;1998;2023;3
2025;1399489;1998;2021;3
2025;4503;1998;2021;3
2025;1390309;1998;2020;3
2025;91399;1998;2020;3
2025;107766;1998;2020;3
2025;1166567;1998;2021;3
2025;18605;1998;2021;3
2025;53338;1998;2021;3
2025;1408262;1998;2020;3
2025;72669;1998;2020;3
2025;12970;1998;2020;1
2025;1408507;1998;2021;3
2025;1457707;1998;2021;4
2025;1399614;1998;2021;4
2025;1399618;1998;2022;4
2025;10591;1998;2022;3
2025;90483;1998;1998;3
2025;1258023;1998;2021;3
2025;1108281;1998;2021;3
2025;5000979;1998;2022;3
2025;1258023;1998;2022;3
2025;1200578;1998;2019;3
2025;1193275;1998;2020;3
2025;10289;1998;2020;3
2025;18605;1998;2020;3
2025;100956;1998;2020;3
2025;1166567;1998;2021;3
2025;1168313;1998;2020;3
2025;7414;1998;2020;3
2025;1292917;1998;2020;3
2025;85652;1998;2019;3
2025;1399617;1998;2020;3
2025;5000979;1998;2020;3
2025;59414;1998;2020;3
2025;1399477;1998;2021;3
2025;9805;1998;2020;3
2025;66361;1998;2020;3
